#tstp   Ax    Ay
594  -1.39317  -1.39317
595  -1.3989  -1.3989
596  -1.40451  -1.40451
597  -1.40999  -1.40999
598  -1.41534  -1.41534
599  -1.42056  -1.42056
600  -1.42564  -1.42564
601  -1.43059  -1.43059
602  -1.4354  -1.4354
603  -1.44008  -1.44008
604  -1.44461  -1.44461
605  -1.44899  -1.44899
606  -1.45323  -1.45323
607  -1.45733  -1.45733
608  -1.46127  -1.46127
609  -1.46506  -1.46506
610  -1.46869  -1.46869
611  -1.47217  -1.47217
612  -1.47549  -1.47549
613  -1.47866  -1.47866
614  -1.48165  -1.48165
615  -1.48449  -1.48449
616  -1.48716  -1.48716
617  -1.48966  -1.48966
618  -1.49199  -1.49199
619  -1.49415  -1.49415
620  -1.49613  -1.49613
621  -1.49794  -1.49794
622  -1.49957  -1.49957
623  -1.50102  -1.50102
624  -1.50228  -1.50228
625  -1.50337  -1.50337
626  -1.50426  -1.50426
627  -1.50498  -1.50498
628  -1.5055  -1.5055
629  -1.50583  -1.50583
630  -1.50596  -1.50596
631  -1.50591  -1.50591
632  -1.50565  -1.50565
633  -1.5052  -1.5052
634  -1.50454  -1.50454
635  -1.50369  -1.50369
636  -1.50263  -1.50263
637  -1.50136  -1.50136
638  -1.49989  -1.49989
639  -1.49821  -1.49821
640  -1.49632  -1.49632
641  -1.49422  -1.49422
642  -1.4919  -1.4919
643  -1.48937  -1.48937
644  -1.48662  -1.48662
645  -1.48365  -1.48365
646  -1.48046  -1.48046
647  -1.47705  -1.47705
648  -1.47342  -1.47342
649  -1.46957  -1.46957
650  -1.46548  -1.46548
651  -1.46117  -1.46117
652  -1.45663  -1.45663
653  -1.45186  -1.45186
654  -1.44686  -1.44686
655  -1.44163  -1.44163
656  -1.43616  -1.43616
657  -1.43046  -1.43046
658  -1.42452  -1.42452
659  -1.41834  -1.41834
660  -1.41193  -1.41193
661  -1.40527  -1.40527
662  -1.39837  -1.39837
663  -1.39123  -1.39123
664  -1.38385  -1.38385
665  -1.37622  -1.37622
666  -1.36835  -1.36835
667  -1.36023  -1.36023
668  -1.35186  -1.35186
669  -1.34324  -1.34324
670  -1.33438  -1.33438
671  -1.32526  -1.32526
672  -1.3159  -1.3159
673  -1.30628  -1.30628
674  -1.29641  -1.29641
675  -1.28629  -1.28629
676  -1.27591  -1.27591
677  -1.26528  -1.26528
678  -1.25439  -1.25439
679  -1.24325  -1.24325
680  -1.23185  -1.23185
681  -1.2202  -1.2202
